Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-15.72,66.06,-41.27,-25.89,-64.17,4.81
-15.72,66.06,-41.27,-25.89,-64.17,4.81
-15.72,66.06,-41.27,-25.89,-64.17,4.81
-15.17,66.00,-41.24,-25.93,-64.66,4.85
-15.17,66.00,-41.24,-25.93,-64.66,4.85
-15.17,66.00,-41.24,-25.93,-64.66,4.85
-15.17,66.00,-41.24,-25.93,-64.66,4.85
-14.77,65.96,-41.22,-25.96,-65.01,4.87
-14.77,65.96,-41.22,-25.96,-65.01,4.87
-14.77,65.96,-41.22,-25.96,-65.01,4.87
-14.77,65.96,-41.22,-25.96,-65.01,4.87
-14.76,65.96,-41.21,-25.96,-65.02,4.87
-14.76,65.96,-41.21,-25.96,-65.02,4.87
-14.76,65.96,-41.21,-25.96,-65.02,4.87
-14.76,65.96,-41.21,-25.96,-65.02,4.87
-14.41,65.98,-41.09,-25.98,-65.30,4.91
-14.41,65.98,-41.09,-25.98,-65.30,4.91
-14.41,65.98,-41.09,-25.98,-65.30,4.91
-14.41,65.98,-41.09,-25.98,-65.30,4.91
-13.86,66.14,-40.94,-26.01,-65.77,4.94
-13.86,66.14,-40.94,-26.01,-65.77,4.94
-13.86,66.14,-40.94,-26.01,-65.77,4.94
-13.86,66.14,-40.94,-26.01,-65.77,4.94
-13.24,66.38,-40.78,-26.05,-66.31,4.96
-13.24,66.38,-40.78,-26.05,-66.31,4.96
-13.24,66.38,-40.78,-26.05,-66.31,4.96
-13.24,66.38,-40.78,-26.05,-66.31,4.96
-12.68,66.61,-40.65,-26.08,-66.83,4.98
-12.68,66.61,-40.65,-26.08,-66.83,4.98
-12.68,66.61,-40.65,-26.08,-66.83,4.98
-12.68,66.61,-40.65,-26.08,-66.83,4.98
-12.28,66.78,-40.56,-26.11,-67.19,4.98
-12.28,66.78,-40.56,-26.11,-67.19,4.98
-12.28,66.78,-40.56,-26.11,-67.19,4.98
-12.28,66.78,-40.56,-26.11,-67.19,4.98
-12.00,66.89,-40.51,-26.13,-67.45,4.99
-12.00,66.89,-40.51,-26.13,-67.45,4.99
-12.00,66.89,-40.51,-26.13,-67.45,4.99
-12.00,66.89,-40.51,-26.13,-67.45,4.99
-12.00,66.89,-40.51,-26.13,-67.45,4.99
-12.12,66.74,-40.51,-26.12,-67.32,5.00
-12.12,66.74,-40.51,-26.12,-67.32,5.00
-12.12,66.74,-40.51,-26.12,-67.32,5.00
-12.12,66.74,-40.51,-26.12,-67.32,5.00
-11.66,66.69,-40.45,-26.15,-67.73,5.02
-11.66,66.69,-40.45,-26.15,-67.73,5.02
-11.66,66.69,-40.45,-26.15,-67.73,5.02
-11.66,66.69,-40.45,-26.15,-67.73,5.02
-11.08,66.68,-40.41,-26.20,-68.28,5.02
-11.08,66.68,-40.41,-26.20,-68.28,5.02
-11.08,66.68,-40.41,-26.20,-68.28,5.02
-11.08,66.68,-40.41,-26.20,-68.28,5.02
-10.50,66.69,-40.39,-26.25,-68.84,5.02
-10.50,66.69,-40.39,-26.25,-68.84,5.02
-10.50,66.69,-40.39,-26.25,-68.84,5.02
-10.50,66.69,-40.39,-26.25,-68.84,5.02
-10.02,66.71,-40.37,-26.29,-69.30,5.02
-10.02,66.71,-40.37,-26.29,-69.30,5.02
-10.02,66.71,-40.37,-26.29,-69.30,5.02
-10.02,66.71,-40.37,-26.29,-69.30,5.02
-9.74,66.72,-40.37,-26.31,-69.57,5.02
-9.74,66.72,-40.37,-26.31,-69.57,5.02
-9.74,66.72,-40.37,-26.31,-69.57,5.02
-9.74,66.72,-40.37,-26.31,-69.57,5.02
-9.91,66.66,-40.33,-26.29,-69.40,5.03
-9.91,66.66,-40.33,-26.29,-69.40,5.03
-9.91,66.66,-40.33,-26.29,-69.40,5.03
-9.91,66.66,-40.33,-26.29,-69.40,5.03
-9.54,66.45,-40.21,-26.28,-69.80,5.03
-9.54,66.45,-40.21,-26.28,-69.80,5.03
-9.54,66.45,-40.21,-26.28,-69.80,5.03
-9.54,66.45,-40.21,-26.28,-69.80,5.03
-9.09,66.17,-40.08,-26.28,-70.34,5.03
-9.09,66.17,-40.08,-26.28,-70.34,5.03
-9.09,66.17,-40.08,-26.28,-70.34,5.03
-9.09,66.17,-40.08,-26.28,-70.34,5.03
-8.62,65.88,-39.94,-26.27,-70.92,5.02
-8.62,65.88,-39.94,-26.27,-70.92,5.02
-8.62,65.88,-39.94,-26.27,-70.92,5.02
-8.62,65.88,-39.94,-26.27,-70.92,5.02
-8.22,65.63,-39.83,-26.26,-71.41,5.00
-8.22,65.63,-39.83,-26.26,-71.41,5.00
-8.22,65.63,-39.83,-26.26,-71.41,5.00
-8.22,65.63,-39.83,-26.26,-71.41,5.00
-7.99,65.50,-39.77,-26.25,-71.70,5.00
-7.99,65.50,-39.77,-26.25,-71.70,5.00
-7.99,65.50,-39.77,-26.25,-71.70,5.00
-7.99,65.50,-39.77,-26.25,-71.70,5.00
-8.16,65.61,-39.81,-26.26,-71.46,5.01
-8.16,65.61,-39.81,-26.26,-71.46,5.01
-8.16,65.61,-39.81,-26.26,-71.46,5.01
-8.16,65.61,-39.81,-26.26,-71.46,5.01
-7.78,65.44,-39.78,-26.28,-71.81,5.01
-7.78,65.44,-39.78,-26.28,-71.81,5.01
-7.78,65.44,-39.78,-26.28,-71.81,5.01
-7.78,65.44,-39.78,-26.28,-71.81,5.01
-7.26,65.17,-39.79,-26.32,-72.31,5.01
-7.26,65.17,-39.79,-26.32,-72.31,5.01
-7.26,65.17,-39.79,-26.32,-72.31,5.01
-7.26,65.17,-39.79,-26.32,-72.31,5.01
-6.70,64.87,-39.83,-26.37,-72.86,4.99
-6.70,64.87,-39.83,-26.37,-72.86,4.99
-6.70,64.87,-39.83,-26.37,-72.86,4.99
-6.70,64.87,-39.83,-26.37,-72.86,4.99
-6.21,64.61,-39.87,-26.41,-73.34,4.97
-6.21,64.61,-39.87,-26.41,-73.34,4.97
-6.21,64.61,-39.87,-26.41,-73.34,4.97
-6.21,64.61,-39.87,-26.41,-73.34,4.97
